MeasuredFrame,FrameTime,GameThreadTime,RenderThreadTime,GPUTime,RHIThreadTime
335,31.0866,0.8170,2.0699,27.4832,1.0472
336,31.2830,0.8768,2.2595,29.6462,1.0581
337,31.1534,0.8999,2.1618,28.0529,0.9630
338,31.2702,0.9330,2.1761,27.5272,1.0327
339,31.7180,0.8603,2.4516,30.6742,1.2239
340,31.0406,0.9997,2.2259,30.6392,1.1152
341,30.9120,0.7695,2.1071,27.4255,0.9882
342,31.4206,0.9182,2.1809,27.8474,1.0274
343,31.1423,0.8413,2.0492,28.4735,1.0672
344,31.2622,0.8433,2.0293,27.2041,0.9454
345,31.5623,0.7615,2.3822,27.6722,1.0647
346,30.9668,0.8615,2.0527,27.7005,0.9912
347,31.5963,0.9131,2.1931,29.0793,1.0955
348,30.9896,0.8779,2.0227,27.9285,0.9492
349,31.3140,0.8412,2.2053,27.2598,1.1367
350,31.7334,0.8817,2.4980,29.5298,1.0653
351,31.4535,0.9775,2.6888,29.8865,1.3425
352,30.5190,0.9492,2.1597,28.2266,1.0682
353,31.4933,0.7982,2.2893,27.2989,1.0612
354,31.1510,0.8701,2.2371,28.3309,1.0536
355,31.0950,0.8567,2.2421,28.6710,1.0754
356,31.1229,0.8401,2.1468,27.0473,1.0481
357,31.5600,0.8659,2.2543,29.2976,1.0911
358,31.1511,0.9367,2.2080,27.5167,1.0027
359,31.0962,0.8687,2.1288,25.2740,1.0590
